year,pnid,D_SEX,D_AGE,RQ7_1,Q3_1a1,REGION_01,REGION_02,REGION_03,REGION_04,REGION_05,REGION_06,REGION_07,REGION_08,REGION_09,REGION_10,REGION_11,REGION_12,REGION_13,REGION_14,REGION_15,REGION_16,REGION_17
2023,6,2,2,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,1,3,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,11,2,4,1,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,2,4,2,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,14,2,3,3,13.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,19,1,5,2,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,20,1,2,2,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,21,2,2,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,24,2,3,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,25,2,3,2,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,26,1,2,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,27,1,3,2,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,29,2,4,3,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,30,1,2,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,31,2,2,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,32,2,4,3,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,33,2,4,3,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,36,1,4,1,12.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,37,2,2,1,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,38,2,2,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,39,1,2,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,40,1,2,3,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
